\fixlen = T
|set|TIME       |PDCSAP_FLUX_ERR|
|int|double     |double         |
 0   907.0478943 3.4450878e+01   
 0   907.0485755 3.4422031e+01   
 0   907.0492567 3.4447437e+01   
 0   907.0499378 3.4431648e+01   
 0   907.0506190 3.4440807e+01   
 0   907.0513001 3.4462257e+01   
 0   907.0519813 3.4457462e+01   
 0   907.0526624 3.4467560e+01   
 0   907.0533435 3.4459282e+01   
 0   907.0540246 3.4432796e+01   
 0   907.0547058 3.4434238e+01   
 0   907.0553870 3.4427139e+01   
 0   907.0560681 3.4440159e+01   
 0   907.0567492 3.4452076e+01   
 0   907.0574304 3.4462307e+01   
 0   907.0581116 3.4441174e+01   
 0   907.0587926 3.4449680e+01   
 0   907.0594738 3.4420055e+01   
 0   907.0601549 3.4406586e+01   
 0   907.0608361 3.4444378e+01   
 0   907.0615173 3.4404926e+01   
 0   907.0621984 3.4415497e+01   
 0   907.0628796 3.4424988e+01   
 0   907.0635608 3.4427597e+01   
 0   907.0642418 3.4416321e+01   
 0   907.0649229 3.4402145e+01   
 0   907.0656041 3.4380642e+01   
 0   907.0662853 3.4418541e+01   
 0   907.0669665 3.4393627e+01   
 0   907.0676476 3.4380627e+01   
 0   907.0683287 3.4370113e+01   
 0   907.0690099 3.4399323e+01   
 0   907.0696910 3.4347580e+01   
 0   907.0703721 3.4396770e+01   
 0   907.0710532 3.4383236e+01   
 0   907.0717344 3.4372864e+01   
 0   907.0724156 3.4375221e+01   
 0   907.0730967 3.4383945e+01   
 0   907.0737779 3.4410854e+01   
 0   907.0744590 3.4401878e+01   
 0   907.0751402 3.4400677e+01   
 0   907.0758213 3.4392807e+01   
 0   907.0765024 3.4406578e+01   
 0   907.0771835 3.4397263e+01   
 0   907.0778647 3.4390381e+01   
 0   907.0785459 3.4390934e+01   
 0   907.0792270 3.4404140e+01   
 0   907.0799081 3.4416332e+01   
 0   907.0805893 3.4403446e+01   
 0   907.0812704 3.4405926e+01   
 0   907.0819515 3.4411476e+01   
 0   907.0826327 3.4419430e+01   
 0   907.0833138 3.4462227e+01   
 0   907.0839950 3.4404182e+01   
 0   907.0846762 3.4429199e+01   
 0   907.0853573 3.4442287e+01   
 0   907.0860384 3.4436237e+01   
 0   907.0867196 3.4437553e+01   
 0   907.0874007 3.4454243e+01   
 0   907.0880818 3.4465271e+01   
 0   907.0887630 3.4459297e+01   
 0   907.0894441 3.4460831e+01   
 0   907.0901253 3.4440357e+01   
 0   907.0908065 3.4455990e+01   
 0   907.0914876 3.4444275e+01   
 0   907.0921686 3.4451683e+01   
 0   907.0928499 3.4448212e+01   
 0   907.0935310 3.4449055e+01   
 0   907.0942121 3.4459423e+01   
 0   907.0948933 3.4448273e+01   
 0   907.0955745 3.4466507e+01   
 0   907.0962556 3.4443123e+01   
 0   907.0969368 3.4473972e+01   
 0   907.0976178 3.4458637e+01   
 0   907.0982989 3.4437843e+01   
 0   907.0989802 3.4395386e+01   
 0   907.0996613 3.4421280e+01   
 0   907.1003424 3.4439728e+01   
 0   907.1010236 3.4427940e+01   
 0   907.1017048 3.4415707e+01   
 0   907.1023859 3.4394665e+01   
 0   907.1030671 3.4387836e+01   
 0   907.1037481 3.4414978e+01   
 0   907.1044293 3.4404984e+01   
 0   907.1051105 3.4397049e+01   
 0   907.1057916 3.4405708e+01   
 0   907.1064727 3.4377865e+01   
 0   907.1071539 3.4403919e+01   
 0   907.1078351 3.4373161e+01   
 0   907.1085162 3.4376282e+01   
 0   907.1091972 3.4368252e+01   
 0   907.1098784 3.4348312e+01   
 0   907.1105596 3.4350334e+01   
 0   907.1112407 3.4353985e+01   
 0   907.1119218 3.4356766e+01   
 0   907.1126030 3.4366993e+01   
 0   907.1132842 3.4379429e+01   
 0   907.1139654 3.4347763e+01   
 0   907.1146464 3.4358124e+01   
 0   907.1153275 3.4354912e+01   
 0   907.1160087 3.4308743e+01   
 0   907.1166899 3.4366596e+01   
 0   907.1173710 3.4363350e+01   
 0   907.1180522 3.4343803e+01   
 0   907.1187333 3.4333546e+01   
 0   907.1194145 3.4372665e+01   
 0   907.1200955 3.4371643e+01   
 0   907.1207767 3.4341022e+01   
 0   907.1214578 3.4306969e+01   
