\fixlen = T
|set|TIME       |PDCSAP_FLUX_ERR|
|int|double     |double         |
 0   120.6572975 1.2367526e+02   
 0   120.6579787 1.2356951e+02   
 0   120.6586598 1.2348204e+02   
 0   120.6593409 1.2341875e+02   
 0   120.6600222 1.2337811e+02   
 0   120.6607032 1.2335303e+02   
 0   120.6613843 1.2334160e+02   
 0   120.6620654 1.2337467e+02   
 0   120.6627466 1.2343397e+02   
 0   120.6634278 1.2351324e+02   
 0   120.6641089 1.2361522e+02   
 0   120.6647901 1.2373225e+02   
 0   120.6654712 1.2387866e+02   
 0   120.6661522 1.2406746e+02   
 0   120.6668335 1.2431741e+02   
 0   120.6675146 1.2447472e+02   
 0   120.6681957 1.2471361e+02   
 0   120.6688769 1.2494112e+02   
 0   120.6695581 1.2519815e+02   
 0   120.6702392 1.2546835e+02   
 0   120.6709204 1.2573884e+02   
 0   120.6716014 1.2601743e+02   
 0   120.6722825 1.2631030e+02   
 0   120.6729638 1.2659168e+02   
 0   120.6736449 1.2686884e+02   
 0   120.6743260 1.2712519e+02   
 0   120.6750071 1.2740115e+02   
 0   120.6756884 1.2764880e+02   
 0   120.6763695 1.2787617e+02   
 0   120.6770506 1.2808232e+02   
 0   120.6777317 1.2824875e+02   
 0   120.6784128 1.2839124e+02   
 0   120.6790940 1.2852692e+02   
 0   120.6797752 1.2858466e+02   
 0   120.6804563 1.2861633e+02   
 0   120.6811374 1.2861121e+02   
 0   120.6818187 1.2853712e+02   
 0   120.6824998 1.2843556e+02   
 0   120.6831808 1.2826279e+02   
 0   120.6838620 1.2805696e+02   
 0   120.6845431 1.2780556e+02   
 0   120.6852243 1.2751060e+02   
 0   120.6859055 1.2718268e+02   
 0   120.6865866 1.2682996e+02   
 0   120.6872678 1.2645601e+02   
 0   120.6879489 1.2605435e+02   
 0   120.6886300 1.2564632e+02   
 0   120.6893111 1.2522787e+02   
 0   120.6899923 1.2481297e+02   
 0   120.6906734 1.2438143e+02   
 0   120.6913547 1.2395305e+02   
 0   120.6920358 1.2353561e+02   
 0   120.6927169 1.2313941e+02   
 0   120.6933980 1.2274517e+02   
 0   120.6940791 1.2236796e+02   
 0   120.6947603 1.2202225e+02   
 0   120.6954414 1.2170011e+02   
 0   120.6961226 1.2139806e+02   
 0   120.6968037 1.2111717e+02   
 0   120.6974849 1.2086810e+02   
 0   120.6981661 1.2065466e+02   
 0   120.6988472 1.2046971e+02   
 0   120.6995282 1.2032687e+02   
 0   120.7002093 1.2022489e+02   
 0   120.7008906 1.2015155e+02   
 0   120.7015717 1.2012205e+02   
 0   120.7022528 1.2011927e+02   
 0   120.7029340 1.2018233e+02   
 0   120.7036152 1.2026080e+02   
 0   120.7042963 1.2038557e+02   
 0   120.7049774 1.2055058e+02   
 0   120.7056585 1.2075005e+02   
 0   120.7063396 1.2096087e+02   
 0   120.7070209 1.2119506e+02   
 0   120.7077020 1.2145966e+02   
 0   120.7083831 1.2173888e+02   
 0   120.7090643 1.2204556e+02   
 0   120.7097454 1.2237258e+02   
 0   120.7104265 1.2269202e+02   
 0   120.7111076 1.2302602e+02   
 0   120.7117888 1.2336766e+02   
 0   120.7124699 1.2371124e+02   
 0   120.7131511 1.2403971e+02   
 0   120.7138323 1.2437711e+02   
 0   120.7145134 1.2473154e+02   
 0   120.7151946 1.2504481e+02   
 0   120.7158756 1.2536299e+02   
 0   120.7165568 1.2566956e+02   
 0   120.7172379 1.2593484e+02   
 0   120.7179191 1.2620515e+02   
 0   120.7186002 1.2643216e+02   
 0   120.7192815 1.2664257e+02   
 0   120.7199626 1.2682286e+02   
 0   120.7206437 1.2696879e+02   
 0   120.7213247 1.2706454e+02   
 0   120.7220059 1.2710733e+02   
 0   120.7226871 1.2712471e+02   
 0   120.7233683 1.2707441e+02   
 0   120.7240494 1.2696909e+02   
 0   120.7247305 1.2684599e+02   
 0   120.7254118 1.2664755e+02   
 0   120.7260929 1.2642732e+02   
 0   120.7267739 1.2617709e+02   
 0   120.7274551 1.2588556e+02   
 0   120.7281362 1.2557623e+02   
 0   120.7288174 1.2523511e+02   
 0   120.7294985 1.2487155e+02   
 0   120.7301797 1.2451693e+02   
 0   120.7308608 1.2412752e+02   
 0   120.7315419 1.2374201e+02   
 0   120.7322231 1.2335131e+02   
 0   120.7329042 1.2297343e+02   
 0   120.7335853 1.2257819e+02   
 0   120.7342665 1.2222693e+02   
 0   120.7349477 1.2187140e+02   
 0   120.7356288 1.2152272e+02   
 0   120.7363099 1.2120657e+02   
 0   120.7369911 1.2088763e+02   
 0   120.7376721 1.2061461e+02   
 0   120.7383533 1.2036857e+02   
 0   120.7390345 1.2016459e+02   
 0   120.7397156 1.1996752e+02   
 0   120.7403967 1.1982135e+02   
 0   120.7410780 1.1972615e+02   
 0   120.7417591 1.1967084e+02   
 0   120.7424403 1.1967336e+02   
