\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   914.8149302  3.9834647e+05 
 0   914.8353642  3.9840047e+05 
 0   914.8557983  3.9840197e+05 
 0   914.8762321  3.9839750e+05 
 0   914.8966661  3.9839159e+05 
 0   914.9375342  3.9839950e+05 
 0   914.9579682  3.9837303e+05 
 0   914.9784022  3.9836241e+05 
 0   914.9988361  3.9840772e+05 
 0   915.0192701  3.9838409e+05 
 0   915.0397041  3.9837538e+05 
 0   915.0601381  3.9839606e+05 
 0   915.0805722  3.9836197e+05 
 0   915.1010061  3.9839431e+05 
 0   915.1214400  3.9837431e+05 
 0   915.1418741  3.9840409e+05 
 0   915.1623080  3.9835784e+05 
 0   915.1827420  3.9837691e+05 
 0   915.2031761  3.9842603e+05 
 0   915.2236099  3.9838603e+05 
 0   915.2440440  3.9843541e+05 
 0   915.2644780  3.9838812e+05 
 0   915.2849119  3.9840744e+05 
 0   915.3053460  3.9839516e+05 
 0   915.3257799  3.9841134e+05 
 0   915.3462138  3.9841156e+05 
 0   915.3666479  3.9839875e+05 
 0   915.3870819  3.9838678e+05 
 0   915.4075158  3.9838528e+05 
 0   915.4279498  3.9836759e+05 
 0   915.4483838  3.9840925e+05 
 0   915.4688178  3.9835909e+05 
 0   915.4892518  3.9842016e+05 
 0   915.5096857  3.9838406e+05 
 0   915.5301197  3.9837259e+05 
 0   915.5505537  3.9836969e+05 
 0   915.5709877  3.9837462e+05 
 0   915.5914218  3.9838725e+05 
 0   915.6322896  3.9838234e+05 
 0   915.6527237  3.9836706e+05 
 0   915.6731576  3.9836366e+05 
 0   915.6935916  3.9840528e+05 
 0   915.7140256  3.9839425e+05 
 0   915.7344595  3.9836706e+05 
 0   915.7548936  3.9837256e+05 
 0   915.7753275  3.9822047e+05 
 0   915.7957614  3.9757425e+05 
 0   915.8161955  3.9345019e+05 
 0   915.8366295  3.9282775e+05 
 0   915.8570633  3.9612762e+05 
 0   915.8774974  3.9836803e+05 
 0   915.8979314  3.9838606e+05 
 0   915.9183655  3.9837934e+05 
 0   915.9387993  3.9839212e+05 
 0   915.9592333  3.9838116e+05 
 0   915.9796674  3.9837362e+05 
 0   916.0001013  3.9838106e+05 
 0   916.0205352  3.9836144e+05 
 0   916.0409693  3.9837738e+05 
 0   916.0614032  3.9839788e+05 
 0   916.0818372  3.9834862e+05 
 0   916.1022711  3.9837244e+05 
 0   916.1227051  3.9839044e+05 
 0   916.1431391  3.9840756e+05 
 0   916.1635731  3.9839162e+05 
 0   916.1840070  3.9839453e+05 
 0   916.2044411  3.9840331e+05 
 0   916.2248751  3.9838284e+05 
 0   916.2453089  3.9838450e+05 
 0   916.2657430  3.9838500e+05 
 0   916.2861770  3.9838553e+05 
 0   916.3066108  3.9839875e+05 
 0   916.3270449  3.9840500e+05 
 0   916.3474789  3.9837862e+05 
 0   916.3679128  3.9839225e+05 
 0   916.3883468  3.9837094e+05 
 0   916.4087808  3.9843519e+05 
 0   916.4292149  3.9838934e+05 
 0   916.4496487  3.9841041e+05 
 0   916.4700827  3.9838312e+05 
 0   916.4905168  3.9840588e+05 
 0   916.5109506  3.9838206e+05 
 0   916.5313846  3.9836650e+05 
 0   916.5518187  3.9834906e+05 
 0   916.5722526  3.9837053e+05 
 0   916.5926865  3.9838712e+05 
 0   916.6131206  3.9842119e+05 
 0   916.6335546  3.9840725e+05 
 0   916.6539885  3.9835984e+05 
 0   916.6744225  3.9841128e+05 
 0   916.6948565  3.9834966e+05 
 0   916.7152904  3.9838847e+05 
 0   916.7357244  3.9836250e+05 
 0   916.7561584  3.9833934e+05 
 0   916.7765923  3.9839434e+05 
 0   916.7970263  3.9836606e+05 
 0   916.8174602  3.9838797e+05 
 0   916.8378942  3.9837619e+05 
 0   916.8583282  3.9838272e+05 
 0   916.8787621  3.9837438e+05 
 0   916.8991961  3.9837816e+05 
 0   916.9196301  3.9837306e+05 
 0   916.9400642  3.9838984e+05 
 0   916.9604980  3.9834669e+05 
 0   916.9809320  3.9836175e+05 
 0   917.0013661  3.9837144e+05 
 0   917.0217999  3.9839069e+05 
 0   917.0422339  3.9832669e+05 
 0   917.0626679  3.9841209e+05 
 0   917.0831019  3.9841212e+05 
 0   917.1035358  3.9838044e+05 
 0   917.1239698  3.9837759e+05 
 0   917.1444038  3.9836397e+05 
 0   917.1648378  3.9835619e+05 
 0   917.1852717  3.9838638e+05 
 0   917.2057057  3.9840612e+05 
 0   917.2261398  3.9839378e+05 
 0   917.2465736  3.9838972e+05 
 0   917.2670076  3.9837938e+05 
 0   917.2874416  3.9839419e+05 
 0   917.3078755  3.9835744e+05 
 0   917.3283095  3.9838841e+05 
 0   917.3487434  3.9835391e+05 
 0   917.3691774  3.9835816e+05 
 0   917.3896115  3.9835756e+05 
 0   917.4100454  3.9834419e+05 
 0   917.4304793  3.9835078e+05 
 0   917.4509133  3.9839209e+05 
 0   917.4713472  3.9837978e+05 
 0   917.4917812  3.9839300e+05 
 0   917.5122152  3.9838166e+05 
 0   917.5326491  3.9836712e+05 
 0   917.5530830  3.9841550e+05 
 0   917.5735171  3.9837806e+05 
 0   917.5939510  3.9836766e+05 
 0   917.6143849  3.9836681e+05 
 0   917.6348190  3.9839556e+05 
 0   917.6552529  3.9841950e+05 
 0   917.6756869  3.9842159e+05 
 0   917.6961209  3.9838603e+05 
 0   917.7165548  3.9836562e+05 
 0   917.7369888  3.9836931e+05 
 0   917.7574227  3.9838281e+05 
 0   917.7778567  3.9837791e+05 
 0   917.7982907  3.9837562e+05 
 0   917.8187246  3.9838288e+05 
 0   917.8595926  3.9836044e+05 
 0   917.8800265  3.9836753e+05 
 0   917.9208945  3.9835019e+05 
 0   917.9413283  3.9836759e+05 
 0   917.9617624  3.9835488e+05 
 0   917.9821964  3.9838938e+05 
 0   918.0026302  3.9834981e+05 
 0   918.0230643  3.9836788e+05 
 0   918.0434982  3.9836350e+05 
 0   918.0639321  3.9836153e+05 
 0   918.0843661  3.9836859e+05 
