\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   970.2648830  3.9724762e+05 
 0   970.2655640  3.9728703e+05 
 0   970.2662451  3.9741534e+05 
 0   970.2669263  3.9720325e+05 
 0   970.2676074  3.9738225e+05 
 0   970.2682885  3.9737550e+05 
 0   970.2689697  3.9728175e+05 
 0   970.2696508  3.9751938e+05 
 0   970.2703319  3.9746478e+05 
 0   970.2710129  3.9737131e+05 
 0   970.2716940  3.9745841e+05 
 0   970.2723751  3.9731972e+05 
 0   970.2730563  3.9737259e+05 
 0   970.2737374  3.9732675e+05 
 0   970.2744185  3.9741250e+05 
 0   970.2750996  3.9724141e+05 
 0   970.2757808  3.9721578e+05 
 0   970.2764618  3.9738834e+05 
 0   970.2771430  3.9729116e+05 
 0   970.2778241  3.9735678e+05 
 0   970.2785052  3.9733088e+05 
 0   970.2791863  3.9744022e+05 
 0   970.2798675  3.9750719e+05 
 0   970.2805486  3.9730706e+05 
 0   970.2812297  3.9740553e+05 
 0   970.2819108  3.9718506e+05 
 0   970.2825919  3.9738641e+05 
 0   970.2832729  3.9743288e+05 
 0   970.2839540  3.9730381e+05 
 0   970.2846352  3.9729222e+05 
 0   970.2853163  3.9723856e+05 
 0   970.2859974  3.9729119e+05 
 0   970.2866786  3.9732359e+05 
 0   970.2873597  3.9729484e+05 
 0   970.2880407  3.9739672e+05 
 0   970.2887219  3.9737859e+05 
 0   970.2894030  3.9727353e+05 
 0   970.2900841  3.9735534e+05 
 0   970.2907653  3.9761122e+05 
 0   970.2914464  3.9727516e+05 
 0   970.2921275  3.9768534e+05 
 0   970.2928087  3.9735303e+05 
 0   970.2934897  3.9746038e+05 
 0   970.2941707  3.9731859e+05 
 0   970.2948519  3.9738603e+05 
 0   970.2955330  3.9733256e+05 
 0   970.2962141  3.9722547e+05 
 0   970.2968953  3.9742619e+05 
 0   970.2975764  3.9751969e+05 
 0   970.2982576  3.9744497e+05 
 0   970.2989386  3.9736938e+05 
 0   970.2996197  3.9744538e+05 
 0   970.3003008  3.9736772e+05 
 0   970.3009820  3.9729628e+05 
 0   970.3016631  3.9743069e+05 
 0   970.3023442  3.9718669e+05 
 0   970.3030254  3.9713109e+05 
 0   970.3037065  3.9737691e+05 
 0   970.3043875  3.9721828e+05 
 0   970.3050687  3.9729091e+05 
 0   970.3057497  3.9736266e+05 
 0   970.3064308  3.9748650e+05 
 0   970.3071120  3.9729103e+05 
 0   970.3077931  3.9733556e+05 
 0   970.3084742  3.9730916e+05 
 0   970.3091554  3.9735631e+05 
 0   970.3098365  3.9738869e+05 
 0   970.3105175  3.9728753e+05 
 0   970.3111986  3.9713197e+05 
 0   970.3118798  3.9740350e+05 
 0   970.3125609  3.9741116e+05 
 0   970.3132420  3.9755103e+05 
 0   970.3139232  3.9745272e+05 
 0   970.3146043  3.9739662e+05 
 0   970.3152854  3.9737256e+05 
 0   970.3159665  3.9728147e+05 
 0   970.3166476  3.9742919e+05 
 0   970.3173286  3.9736341e+05 
 0   970.3180098  3.9731259e+05 
 0   970.3186909  3.9743291e+05 
 0   970.3193720  3.9740131e+05 
 0   970.3200532  3.9745956e+05 
 0   970.3207343  3.9745441e+05 
 0   970.3214153  3.9723503e+05 
 0   970.3220964  3.9746609e+05 
 0   970.3227776  3.9748550e+05 
 0   970.3234587  3.9754078e+05 
 0   970.3241399  3.9746238e+05 
 0   970.3248210  3.9742019e+05 
 0   970.3255022  3.9748209e+05 
 0   970.3261833  3.9750962e+05 
 0   970.3268643  3.9731516e+05 
 0   970.3275454  3.9740772e+05 
 0   970.3282265  3.9740159e+05 
 0   970.3289076  3.9724456e+05 
 0   970.3295887  3.9723369e+05 
 0   970.3302699  3.9765256e+05 
 0   970.3309510  3.9732962e+05 
 0   970.3316321  3.9728241e+05 
 0   970.3323132  3.9726612e+05 
 0   970.3329943  3.9744812e+05 
 0   970.3336754  3.9750453e+05 
 0   970.3343566  3.9744422e+05 
 0   970.3350377  3.9734984e+05 
 0   970.3357188  3.9738588e+05 
 0   970.3363999  3.9737203e+05 
 0   970.3370811  3.9744091e+05 
 0   970.3377622  3.9754678e+05 
 0   970.3384432  3.9741156e+05 
 0   970.3391244  3.9727206e+05 
 0   970.3398054  3.9753050e+05 
 0   970.3404865  3.9740138e+05 
 0   970.3411677  3.9722050e+05 
 0   970.3418488  3.9739178e+05 
 0   970.3425299  3.9751072e+05 
 0   970.3432111  3.9766700e+05 
 0   970.3438921  3.9736441e+05 
 0   970.3445732  3.9744469e+05 
 0   970.3452543  3.9750656e+05 
 0   970.3459355  3.9724212e+05 
 0   970.3466166  3.9736134e+05 
 0   970.3472978  3.9743750e+05 
 0   970.3479789  3.9724156e+05 
 0   970.3486600  3.9739625e+05 
 0   970.3493410  3.9734984e+05 
 0   970.3500222  3.9746388e+05 
 0   970.3507033  3.9720678e+05 
 0   970.3513844  3.9735247e+05 
 0   970.3520655  3.9739822e+05 
 0   970.3527466  3.9746900e+05 
 0   970.3534278  3.9732659e+05 
 0   970.3541089  3.9748825e+05 
 0   970.3547899  3.9745997e+05 
 0   970.3554710  3.9732169e+05 
 0   970.3561522  3.9746669e+05 
 0   970.3568333  3.9746259e+05 
 0   970.3575145  3.9735472e+05 
 0   970.3581956  3.9740125e+05 
 0   970.3588767  3.9738662e+05 
 0   970.3595579  3.9736597e+05 
 0   970.3602390  3.9744172e+05 
 0   970.3609200  3.9750450e+05 
 0   970.3616012  3.9734756e+05 
 0   970.3622822  3.9724209e+05 
 0   970.3629633  3.9752044e+05 
 0   970.3636444  3.9744091e+05 
 0   970.3643256  3.9726981e+05 
 0   970.3650067  3.9740969e+05 
 0   970.3656878  3.9734088e+05 
